schema_id	data_value	abbr_text	full_text
400112	VW:QUA	QUANTUM	VOLKSWAGEN:QUANTUM
400112	VW:R16	R36	VOLKSWAGEN:R36
400112	VW:R32	R32	VOLKSWAGEN:R32
400112	VW:RAB	RABBIT	VOLKSWAGEN:RABBIT
400112	VW:RMT	TERAMONT	VOLKSWAGEN:TERAMONT
400112	VW:ROU	ROUTAN	VOLKSWAGEN:ROUTAN
400112	VW:S30	SANTANA 3000	VOLKSWAGEN:SANTANA 3000
400112	VW:S32	SERIES 32	VOLKSWAGEN:SERIES 32
400112	VW:S33	SERIES 33	VOLKSWAGEN:SERIES 33
400112	VW:S35	SERIES 35	VOLKSWAGEN:SERIES 35
400112	VW:SAG	SAGITAR	VOLKSWAGEN:SAGITAR
400112	VW:SAN	SANTANA	VOLKSWAGEN:SANTANA
400112	VW:SAV	SAVEIRO	VOLKSWAGEN:SAVEIRO
400112	VW:SCI	SCIROCCO	VOLKSWAGEN:SCIROCCO
400112	VW:SE4	SERIES 4	VOLKSWAGEN:SERIES 4
400112	VW:SE6	SERIES 6	VOLKSWAGEN:SERIES 6
400112	VW:SED	SEDAN	VOLKSWAGEN:SEDAN
400112	VW:SEN	SENDA	VOLKSWAGEN:SENDA
400112	VW:SER	SERIES 25	VOLKSWAGEN:SERIES 25
400112	VW:SHA	SHARAN	VOLKSWAGEN:SHARAN
400112	VW:SHU	SHUTTLE	VOLKSWAGEN:SHUTTLE
400112	VW:SPA	SPACEFOX	VOLKSWAGEN:SPACEFOX
400112	VW:SPT	SPORTVAN	VOLKSWAGEN:SPORTVAN
400112	VW:SUP	SUPER PASSAT	VOLKSWAGEN:SUPER PASSAT
400112	VW:SUR	SURAN	VOLKSWAGEN:SURAN
400112	VW:SUV	SUV	VOLKSWAGEN:SUV
400112	VW:T40	T4	VOLKSWAGEN:T4
400112	VW:T50	T5	VOLKSWAGEN:T5
400112	VW:TA1	TAYRON	VOLKSWAGEN:TAYRON
400112	VW:TAR	TARO	VOLKSWAGEN:TARO
400112	VW:TCR	T-CROSS	VOLKSWAGEN:T-CROSS
400112	VW:TEO	ARTEON	VOLKSWAGEN:ARTEON
400112	VW:TH1	THARU	VOLKSWAGEN:THARU
400112	VW:TI4	TIGUAN ALLSPACE	VOLKSWAGEN:TIGUAN ALLSPACE
400112	VW:TI5	TIGUAN LIMITED	VOLKSWAGEN:TIGUAN LIMITED
400112	VW:TI6	TIGUAN RELOADED	VOLKSWAGEN:TIGUAN RELOADED
400112	VW:TIG	TIGUAN	VOLKSWAGEN:TIGUAN
400112	VW:TIT	TITAN	VOLKSWAGEN:TITAN
400112	VW:TOR	TOURAN	VOLKSWAGEN:TOURAN
400112	VW:TOU	TOUAREG	VOLKSWAGEN:TOUAREG
400112	VW:TQA	TACQUA	VOLKSWAGEN:TACQUA
400112	VW:TRA	TRANSPORTER	VOLKSWAGEN:TRANSPORTER
400112	VW:TRI	TRISTAR	VOLKSWAGEN:TRISTAR
400112	VW:TRN	TRANSVAN	VOLKSWAGEN:TRANSVAN
400112	VW:TRX	TERAMONT X	VOLKSWAGEN:TERAMONT X
400112	VW:TUA	TUAREG	VOLKSWAGEN:TUAREG
400112	VW:TUP	TUPI	VOLKSWAGEN:TUPI
400112	VW:TYJ	CITY JETTA	VOLKSWAGEN:CITY JETTA
400112	VW:UPW	UP	VOLKSWAGEN:UP
400112	VW:VAG	VANAGON	VOLKSWAGEN:VANAGON
400112	VW:VAN	VAN	VOLKSWAGEN:VAN
400112	VW:VEN	VENTO	VOLKSWAGEN:VENTO
400112	VW:VI5	VIRTUS	VOLKSWAGEN:VIRTUS
400112	VW:VIL	VILORAN	VOLKSWAGEN:VILORAN
400112	VW:VJC	JETTA CLASICO	VOLKSWAGEN:JETTA CLASICO
400112	VW:VOY	VOYAGE	VOLKSWAGEN:VOYAGE
400112	VW:VTC	T-ROC	VOLKSWAGEN:T-ROC
400112	VW:WSV	GOLF SV	VOLKSWAGEN:GOLF SV
400112	VW:XL1	XL1	VOLKSWAGEN:XL1
400112	AU:100	100	AUDI:100
400112	AU:200	200	AUDI:200
400112	AU:400	4000	AUDI:4000
400112	AU:500	50	AUDI:50
400112	AU:501	500	AUDI:500
400112	AU:502	5000	AUDI:5000
400112	AU:800	80	AUDI:80
400112	AU:901	90	AUDI:90
400112	AU:A20	A2	AUDI:A2
400112	AU:A30	A3	AUDI:A3
400112	AU:A40	A4	AUDI:A4
400112	AU:A50	A5	AUDI:A5
400112	AU:A60	A6	AUDI:A6
400112	AU:A6L	A6L	AUDI:A6L
400112	AU:A6Q	A6 ALLROAD QUATTRO	AUDI:A6 ALLROAD QUATTRO
400112	AU:A7A	A7	AUDI:A7
400112	AU:A80	A8	AUDI:A8
400112	AU:AA1	A1	AUDI:A1
400112	AU:AAQ	A4 ALLROAD QUATTRO	AUDI:A4 ALLROAD QUATTRO
400112	AU:ALL	ALLROAD QUATTRO	AUDI:ALLROAD QUATTRO
400112	AU:ALR	ALLROAD 	AUDI:ALLROAD 
400112	AU:AQ2	Q2	AUDI:Q2
400112	AU:AQ3	Q3	AUDI:Q3
400112	AU:AQ5	Q5	AUDI:Q5
400112	AU:AR3	RS Q3	AUDI:RS Q3
400112	AU:AS7	S7	AUDI:S7
400112	AU:CAB	CABRIOLET	AUDI:CABRIOLET
400112	AU:CBR	CABRIO 	AUDI:CABRIO 
400112	AU:CON	CONVERTIBLE	AUDI:CONVERTIBLE
400112	AU:COU	COUPE	AUDI:COUPE
400112	AU:E-1	E-TRON	AUDI:E-TRON
400112	AU:ETS	E-TRON SPORTBACK	AUDI:E-TRON SPORTBACK
400112	AU:Q3S	Q3 SPORTBACK	AUDI:Q3 SPORTBACK
400112	AU:Q7M	Q7	AUDI:Q7
400112	AU:Q88	Q8	AUDI:Q8
400112	AU:QUA	QUATTRO	AUDI:QUATTRO
400112	AU:R80	R8	AUDI:R8
400112	AU:RS2	RS2	AUDI:RS2
400112	AU:RS3	RS3	AUDI:RS3
400112	AU:RS4	RS4	AUDI:RS4
400112	AU:RS5	RS5	AUDI:RS5
400112	AU:RS6	RS6	AUDI:RS6
400112	AU:RS7	RS7	AUDI:RS7
400112	AU:RSR	RSR	AUDI:RSR
400112	AU:S20	S2	AUDI:S2
400112	AU:S30	S3	AUDI:S3
400112	AU:S40	S4	AUDI:S4
400112	AU:S50	S5	AUDI:S5
400112	AU:S60	S6	AUDI:S6
400112	AU:S80	S8	AUDI:S8
400112	AU:SQ5	SQ5	AUDI:SQ5
400112	AU:SQ7	SQ7	AUDI:SQ7
400112	AU:SS1	S1	AUDI:S1
400112	AU:TT0	TT	AUDI:TT
400112	AU:TTR	TT RS	AUDI:TT RS
400112	AU:TTS	TTS	AUDI:TTS
400112	AU:V81	V8	AUDI:V8
400112	BM:500	5 	BMW:5 
400112	BM:700	7 	BMW:7 
400112	BM:800	8 	BMW:8 
400112	BM:BI3	I3	BMW:I3
400112	BM:BI8	I8	BMW:I8
400112	BM:BM1	X1	BMW:X1
400112	BM:BM7	X7	BMW:X7
400112	BM:IX3	IX3	BMW:IX3
400112	BM:M11	M1	BMW:M1
400112	BM:S2A	SERIES 2 ACTIVE TOURER	BMW:SERIES 2 ACTIVE TOURER
400112	BM:S2G	SERIES 2 GRAN TOURER	BMW:SERIES 2 GRAN TOURER
400112	BM:SE1	SERIES 1	BMW:SERIES 1
400112	BM:SE2	SERIES 2	BMW:SERIES 2
400112	BM:SE3	SERIES 3	BMW:SERIES 3
400112	BM:SE4	SERIES 4	BMW:SERIES 4
400112	BM:SE5	SERIES 5	BMW:SERIES 5
400112	BM:SE6	SERIES 6	BMW:SERIES 6
400112	BM:SE7	SERIES 7	BMW:SERIES 7
400112	BM:SE8	SERIES 8	BMW:SERIES 8
400112	BM:SER	SERIES 3 COMPACT	BMW:SERIES 3 COMPACT
400112	BM:X21	X2	BMW:X2
400112	BM:X31	X3	BMW:X3
400112	BM:X41	X4	BMW:X4
400112	BM:X51	X5	BMW:X5
400112	BM:X61	X6	BMW:X6
400112	BM:Z11	Z1	BMW:Z1
400112	BM:Z31	Z3	BMW:Z3
400112	BM:Z40	Z4	BMW:Z4
400112	BM:Z81	Z8	BMW:Z8
400112	FO:100	F-1000	FORD:F-1000
400112	FO:-40	F-4000	FORD:F-4000
